# Vigil IOC: C2 and tracking domains
# Format: domain|threat_name|category
api-new.gocashback.com|MobileTracker|tracking
api-production-v4.actv8technologies.com|MobileTracker|tracking
api-project-285519687053.firebaseio.com|TrackView|c2
api-project-999803017449.firebaseio.com|Cerberus|c2
api-telecommunication.com|2021_12_taking_action_against_surveillance_for_hire|c2
api.aliprice.com|MobileTracker|tracking
api.allblock.app|MobileTracker|tracking
api.asbipartnerdb.com|MobileTracker|tracking
api.awarenesstechnologies.com|AndroidPolice|c2
api.bibigpt.co|MobileTracker|tracking
api.branch.io|MobileTracker|tracking
api.bytepioner.com|CouplerTracker|c2
api.cardlift.co|MobileTracker|tracking
api.childsafetytrackerapp.com|EasyLogger|c2
api.cleanmasters.store|MobileTracker|tracking
api.clearlyreader.com|MobileTracker|tracking
api.clevguard.com|ClevGuard|c2
api.corn-cob.com|AiSpyer|c2
api.cp.onemonitar.com|OneSpy|c2
api.dev.chat.roimaster.site|MobileTracker|tracking
api.findgravy.com|MobileTracker|tracking
api.findmykids.org|FindMyKids|c2
api.flexispy.com|FlexiSpy|c2
api.foozor.com|MobileTracker|tracking
api.free-spy.com|AppSpy|c2
api.hashdit.io|MobileTracker|tracking
api.huqindustries.co.uk|MobileTracker|tracking
api.joinsmarty.com|MobileTracker|tracking
api.kallo.io|MobileTracker|tracking
api.lifecircle.app|TrackView|c2
api.lingoway.net|MobileTracker|tracking
api.lingowhale.com|MobileTracker|tracking
api.lunabot.ai|MobileTracker|tracking
api.mainrepo.org|MobileTracker|tracking
api.mamma.com|MobileTracker|tracking
api.mixpanel.com|MobileTracker|tracking
api.mobilebackup.biz|AndroidPolice|c2
api.mobilespy.at|AndroidPolice|c2
api.mousegesturesapi.com|MobileTracker|tracking
api.mycellspy.com|AndroidPolice|c2
api.myendpoint.io|MobileTracker|tracking
api.nextialive.roimaster.site|MobileTracker|tracking
api.odskguo.xyz|MobileTracker|tracking
api.ogymogy.com|TheOneSpy|c2
api.onmanzbien.com|MobileTracker|tracking
api.origano.xyz|MobileTracker|tracking
api.phia.com|MobileTracker|tracking
api.pnt.is|MobileTracker|tracking
api.pythonexample.com|MobileTracker|tracking
api.relingo.net|MobileTracker|tracking
api.safegraph.com|MobileTracker|tracking
api.salmonads.com|MobileTracker|tracking
api.seniorsafetyapp.com|EasyLogger|c2
api.simpleallowcopy.com|MobileTracker|tracking
api.simplycodes.com|MobileTracker|tracking
api.slovarek.hrprime.ru|MobileTracker|tracking
api.smartechmetrics.com|MobileTracker|tracking
api.snoopza.com|Snoopza|c2
api.speedspot.org|MobileTracker|tracking
api.spylix.com|AndroidPolice|c2
api.thd.cc|mSpy|c2
api.tllms.com|MobileTracker|tracking
api.trackview.lifecircle.app|TrackView|c2
api.ttspy.com|RealtimeSpy|c2
api.ultrablock.org|MobileTracker|tracking
api.witheden.ai|MobileTracker|tracking
api.wzrkt.com|MobileTracker|tracking
api.yapthread.com|MobileTracker|tracking
api.zave.it|MobileTracker|tracking
api007.foxspy.com.br|EspiaoAndroid|c2
api1.easydoc.info|MobileTrackerFree|c2
api2.mytranslator.app|MobileTracker|tracking
api3.easydoc.info|MobileTrackerFree|c2
api4.truecaller.com|MobileTracker|tracking
apidemo.spylix.com|AndroidPolice|c2
apispyhuman.com|SpyHuman|c2
apitest.awarenesstechnologies.com|AndroidPolice|c2
apiv4.alter757.info|mSpy|c2
apk.mtf.re|MobileTrackerFree|c2
apk01.spytoapp.com|SpyToApp|c2
apk02.spytoapp.com|SpyToApp|c2
apk03.spytoapp.com|SpyToApp|c2
apk04.spytoapp.com|SpyToApp|c2
apk7.biz|AndroidPolice|c2
apkcar.com|MobileTracker|tracking
apkhl.pw|MobileTracker|tracking
apkprue.info|2021_03_taking_action_against_hackers_in_china|c2
apkprue.info|MobileTracker|tracking
apkpure.bz|MobileTracker|tracking
apkstore.filehubspot.com|2021_11_action_against_hackers_in_pakistan_and_syria|c2
apkv2.qwertykeypad.host|MobileTracker|tracking
apkv5.ppadaolnwod.xyz|MobileTracker|tracking
apkv6.endurecif.top|MobileTracker|tracking
aplsrvrer.com|202006_DarkBasin|c2
apollospy.com|Reptilicus|c2
apollospy.com|Reptilicus|tracking
app-api.phonedata.me|Cocospy|c2
app-api.spyzie.com|Cocospy|c2
app-chat1.atwebpages.com|2021_04_taking_action_against_hackers_in_palestine|c2
app-market.online|2021_04_taking_action_against_hackers_in_palestine|c2
app-measurement.com|MobileTracker|tracking
app-showchat.atwebpages.com|2021_04_taking_action_against_hackers_in_palestine|c2
app-stats.net2share.com|MobileTracker|tracking
app.aflink.com|MobileTracker|tracking
app.antifurtodroid.com|AntiFurtoDroid|c2
app.api.spyzie.wondershare.cn|Cocospy|c2
app.appspy.net|AppSpy|c2
app.appspy.net|AppSpy|tracking
app.appspyfree.com|AppSpy|tracking
app.buenosocial.club|MobileTracker|tracking
app.fonetracker.com|TheTruthSpy|distribution
app.foreverspy.com|Metasploit|c2
app.freephonespy.net|AppSpy|tracking
app.givefreely.com|MobileTracker|tracking
app.mobilespyfree.net|AppSpy|tracking
app.mobiletracking.app|TheTruthSpy|distribution
app.mobnv.com|MobileTracker|tracking
app.numici.com|MobileTracker|tracking
app.ogymogy.com|TheOneSpy|distribution
app.onemonitar.com|OneSpy|tracking
app.phonespying.com|TheTruthSpy|tracking
app.snoopza.com|Snoopza|c2
app.xdspy.app|XDSpy|c2
app.xpspy.com|TheTruthSpy|distribution
app.xyspy.com|TheTruthSpy|c2
app2.appvlc.com|2022_08_metas_adversarial_threat_report_q2|c2
app2.snoopza.com|Snoopza|c2
appbriar.com|2022_08_metas_adversarial_threat_report_q2|c2
appeur.gnway.cc|201510_NGO_Burma|c2
appinstall-mail.space|201801_SpyingOnABudget|c2
appjiagu.com|Cocospy|c2
applepps.com|2021_12_taking_action_against_surveillance_for_hire|c2
application.opence.fr|MobileTracker|tracking
applispy.com|SpyApp|tracking
apply-jobs.com|2022_04_metas_adversarial_threat_report_q1|c2
applytalents.com|2022_04_metas_adversarial_threat_report_q1|c2
appmia.com.es|AppMia|tracking
appmia.com|AppMia|tracking
appmia.fr|AppMia|tracking
appmia.it|AppMia|tracking
appprotonvpn.com|2022_08_metas_adversarial_threat_report_q2|c2
apppure.cf|2021_07_taking_action_against_hackers_in_iran|c2
approve.aegisweb3.com|MobileTracker|tracking
apprtc.appspot.com|AndroidPolice|c2
apps-download.store|2021_04_taking_action_against_hackers_in_palestine|c2
apps-ios.net|2021_12_taking_action_against_surveillance_for_hire|c2
apps-store.online|2021_04_taking_action_against_hackers_in_palestine|c2
appslocallogin.online|2022_04_metas_adversarial_threat_report_q1|c2
appspy-net.firebaseio.com|AppSpy|c2
appspy.com|AppSpy|tracking
appspy.net|AppSpy|c2
appspy.net|AppSpy|tracking
appspyfree.com|AppSpy|tracking
appsstore.in|2021_11_action_against_hackers_in_pakistan_and_syria|c2
appsupdate.net|2022_08_metas_adversarial_threat_report_q2|c2
apptracker.net|AppSpy|tracking
aps12.spyhuman.com|SpyHuman|c2
aps13.spyhuman.com|SpyHuman|c2
aps14.spyhuman.com|SpyHuman|c2
aps15.spyhuman.com|SpyHuman|c2
aps16.spyhuman.com|SpyHuman|c2
aps16042016.spyhuman.com|SpyHuman|c2
aps17.spyhuman.com|SpyHuman|c2
aps18data.securebackuponline.net|SpyHuman|c2
aps18file.securebackuponline.net|SpyHuman|c2
aps2.spyhuman.com|SpyHuman|c2
aps22.spyhuman.com|SpyHuman|c2
arabnews365.com|201810_TheKingdomCameToCanada|c2
arabworld.biz|201810_TheKingdomCameToCanada|c2
aralaper.com|MobileTracker|tracking
aramex-shipping.servehttp.com|201702_NilePhish|c2
aramexegypt.com|2021_12_taking_action_against_surveillance_for_hire|c2
archery.dedyn.io|2022_04_metas_adversarial_threat_report_q1|c2
archiverst.com|2022_08_metas_adversarial_threat_report_q2|c2
arcpi.nextialive.roimaster.site|MobileTracker|tracking
arduous.work|MobileTracker|tracking
area.spyapp.ch|SpyApp|tracking
arindocation.com|MobileTracker|tracking
arr.kcpro.tk|MobileTracker|tracking
artateulseonitor.com|MobileTracker|tracking
asambleanacional-gob-ec.cu9.co|201512_PackRAT|c2
asgard-f8c53.firebaseio.com|GPSTrackerLoki|c2
asgardtech.ru|GPSTrackerLoki|tracking
asrararabiya.co|201608_NSO_Group|c2
asrararablya.com|201608_NSO_Group|c2
asrarrarabiya.com|201608_NSO_Group|c2
ass.absolutesoftsystem.in|AbsoluTrack|c2
ass.absolutesoftsystem.in|AbsoluTrack|tracking
assadcrimes.info|201608_Group5|c2
asset.bk128.com|MobileTracker|tracking
asset.bk128.com|XNSpy|c2
asset.xiz4me.com|MobileTracker|tracking
assuredreturnplan.com|202006_DarkBasin|c2
at.gogameportal.club|MobileTracker|tracking
atb.bearclod.com|MobileTracker|tracking
atheere.com|2021_12_taking_action_against_surveillance_for_hire|c2
ats.flyermobi.com|MobileTracker|tracking
ats.ikmytech.com|MobileTracker|tracking
attorney-client-privileged.com|MobileTracker|tracking
attorney-client.org|MobileTracker|tracking
attorneyclientprivileged.com|MobileTracker|tracking
audit-pvv.com|2021_12_taking_action_against_surveillance_for_hire|c2
auditionregistrationonline.com|202006_DarkBasin|c2
auth.forwardtoken.website|MobileTracker|tracking
autlook.live|2021_04_taking_action_against_hackers_in_palestine|c2
auto-forward.com|HighsterMobile|c2
auto-forward.com|HighsterMobile|tracking
autocoupon.net|MobileTracker|tracking
autoforward-8433d.firebaseio.com|HighsterMobile|c2
autoforward.app|HighsterMobile|tracking
autoforward.co|HighsterMobile|tracking
av2wg.rt14v.com|MobileTracker|tracking
avisindependent.eu|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
awamisolution.com|SmartKeylogger|c2
awamisolution.com|SmartKeylogger|tracking
awarenesstechnologies.com|AndroidPolice|tracking
awsapi.io|iKeyMonitor|c2
b.appjiagu.com|Cocospy|c2
b.freespy1.ml|MobileTracker|tracking
b.freespy1.tk|MobileTracker|tracking
b.hdmodecam.live|MobileTracker|tracking
b1.etrality.com|MobileTracker|tracking
b2.etrality.com|MobileTracker|tracking
b3.etrality.com|MobileTracker|tracking
b55y.net|mSpy|c2
b7.photoeffect.xyz|MobileTracker|tracking
b8c.mveditor.xyz|MobileTracker|tracking
ba.beautycam.xyz|MobileTracker|tracking
ba3.photoeffect.xyz|MobileTracker|tracking
back.brunoespiao.com.br|BrunoEspiao|c2
backup-a71f4.firebaseio.com|HighsterMobile|c2
backupsoft.eu|AndroidPolice|tracking
backwaterreservoir.com|202006_DarkBasin|c2
badr-regex.fastytb.com|MobileTracker|tracking
bagscaner.com|MobileTracker|tracking
bahrainsms.co|201608_NSO_Group|c2
bahri.site|2021_07_taking_action_against_hackers_in_iran|c2
bank-alahly.com|2021_12_taking_action_against_surveillance_for_hire|c2
