# Vigil IOC: Malicious/stalkerware Android packages
# Format: package_name|threat_name|category
com.free.unlimited.transcendvpn|Transcend VPN|spyware
com.free.vpn.masterproxy|Free VPN Master|spyware
com.freevpn.proxytubervpn|Tuber VPN - Free&Secure VPN Proxy Server|spyware
com.freevpn.proxytuber|Super Tuber VPN|spyware
com.fstl.vtnel|Fast Vpn Tunnel|spyware
com.fucol.puz|Photo Puzzle 2021|spyware
com.fun.herone.racegame|Lone Hero Racing|spyware
com.fysolasil.sharephotoeditor|Share Photo Editor|spyware
com.fzvsdrtb.qamlhxri|BrunoEspiao|stalkerware
com.fzvsdrtb.qamlhxri|Unknown|stalkerware
com.gadybatax.artsphotos|Arts Photos|spyware
com.gallery.provides|Art Filters:Photo to Painting|spyware
com.gamebooster.safegame|Game Booster|spyware
com.gcam.pvint|Vinto Cam|spyware
com.gcm_call_sms_tracker.updated|CallSMSTracker|stalkerware
com.gcm_call_sms_tracker.updated|TrackMyPhones|stalkerware
com.gcm_call_sms_tracker|TrackMyPhones|stalkerware
com.gcm_call_tracker|TrackMyPhones|stalkerware
com.gcm_celltracker|TrackMyPhones|stalkerware
com.genten.soulmatch|Emotion Checker|spyware
com.get.mtf|MobileTrackerFree|stalkerware
com.gh.ob|AndroidPolice|stalkerware
com.ghost.vpn.masterproxy|Ghost VPN Proxy|spyware
com.github.muneebwanee.dash|Dash|stalkerware
com.github.muneebwanee.dash|Unknown|stalkerware
com.gizmoquip.smstracker|CallSMSTracker|stalkerware
com.google.android.bacfup|AndroidPolice|stalkerware
com.google.android.bacfup|Kurulum|stalkerware
com.google.android.network|Buhsam|stalkerware
com.google.android.safe|AndroidPolice|stalkerware
com.google.android.safe|Kurulum|stalkerware
com.googleplay.settings|NetSpy|stalkerware
com.googlesettings.setting|1TopSpy|stalkerware
com.googlesettings.setting|HelloSpy|stalkerware
com.gpssettings.src.v65|Mobile Spy|stalkerware
com.gpstrian.phototrian|Train Photo|spyware
com.greatdata|AndroidPolice|stalkerware
com.greatdata|Gpspy|stalkerware
com.grigoriipeerevozchiikov.animephoto|Anime Photo|spyware
com.gss.whereismyphone|AbsoluTrack|stalkerware
com.gss.whereismyphone|RemoteSecurity|stalkerware
com.gtrid.edit.bingoemaker|Photo Editor Pic Collage|spyware
com.guest|System Service|stalkerware
com.guest|TheTruthSpy|stalkerware
com.gzomoyig.qwgawtaz|AndroidPolice|stalkerware
com.gzomoyig.qwgawtaz|KidLogger|stalkerware
com.hellospy.system|HelloSpy|stalkerware
com.hellospy.system|System Services|stalkerware
com.hellospy|1TopSpy|stalkerware
com.hellospy|HelloSpy|stalkerware
com.hiepro.hiynode|Hiyoo Hidenode pro|spyware
com.hiranursaygi.allinoneofficereader|All in one Doc Editor & Viewer|spyware
com.hn.dayblue|Fun Wallpaper|spyware
com.hotspot.vpn.freeproxy|Hotspot Free VPN|spyware
com.hp.vc|FreeAndroidSpy|stalkerware
com.hp.vd|FreeAndroidSpy|stalkerware
com.hqapps.ppp.wallpaper|Highquality Purple Wallpaper|spyware
com.hunbeiren.pipeditorimage|PIP Editor Image|spyware
com.hyadesinc.curiosus|Curiosus|stalkerware
com.hyadesinc.curiosus|Unknown|stalkerware
com.ibm.fb|AndroidMonitor|stalkerware
com.iceselfie.beautycamx|Ice Selfie Beauty Cam|spyware
com.iclaude.scheduledrecorder|Scheduled Recorder (spy recorder)|stalkerware
com.igyluazm.iytdhsky|AndroidPolice|stalkerware
com.igyluazm.iytdhsky|Unknown|stalkerware
com.image.move.puzzle|Image Move Puzzle|spyware
com.imonitor.ainfo|iMonitorSpy|stalkerware
com.instagram.app|Business from Instagram|spyware
com.interaction.wonderful|Wonderful Camera|spyware
com.ispyoo.traceyou|Copy9|stalkerware
com.ispyoo.traceyou|TheTruthSpy|stalkerware
com.ispyoo|System Service|stalkerware
com.ispyoo|TheTruthSpy|stalkerware
com.itqredn8dzrl|SpyLive360|stalkerware
com.ivorfrazier.orahororscope|Ora Horoscope - Fortune Finder|spyware
com.jgeuhcex.ejcxndak|Spyone|stalkerware
com.jgeuhcex.ejcxndak|Unknown|stalkerware
com.juzyuwqt.thxxnjvf|Spyone|stalkerware
com.jxpsnyy.kbvjdjx.dingdingphotoeffect|Ding Ding Photo Editor|spyware
com.jyotin.ct|MobileTrackerFree|stalkerware
com.kali.free.online.fast.translation|Instant Translator|spyware
com.kali_corporation.skethcamplus|Sketch CamPlus|spyware
com.kangaroo.vpnproxy|Kangaroo VPN|spyware
com.katarinalang.photocollage.room|Photoont - Photo Collage Edit|spyware
com.kfhdha.fkjfgjdi|EspiaoAndroid|stalkerware
com.kids.pro|ClevGuard|stalkerware
com.kids.whatsapp|ClevGuard|stalkerware
com.kidsmobmon|AndroidPolice|stalkerware
com.kotmob.palmistry|Palmistry Reading Free|spyware
com.kutsalkoyuncu.toonexphotoediotr|Toonex Photo Editor 2022|spyware
com.laucass.androsmscontrol|Spyone|stalkerware
com.laucass.phonecontrolenabler|Spyone|stalkerware
com.laucass.phonecontrolenabler|Unknown|stalkerware
com.laucass.phonecontroltarget|Spyone|stalkerware
com.laucass.phonecontroltarget|Unknown|stalkerware
com.leg.musclemaker.strong.man.getfit|Male fitness|spyware
com.leneroth.photocollagegridmaker|Pic Collage & Cartoon Editor|spyware
com.liannasoft.editorcam|4K Camera Hyper Photo Filters|spyware
com.liferun.freegame|Life Run|spyware
com.lightling.creatortoon.cartoon|Lighting Creator Toon|spyware
com.lightning.vpn.proxys|Lightning VPN|spyware
com.likefile.superfile|Files Clear|spyware
com.lilaihua.photoeditor|PhotoEditor|spyware
com.local_cell_tracker_updated|TrackMyPhones|stalkerware
com.local_cell_tracker|TrackMyPhones|stalkerware
com.lofacartoon.azwajstudio|Lofa - Studio Photo Cartoon|spyware
com.lrvciyti.unrxnfig|MobileTrackerFree|stalkerware
com.lsdroid.cerberus.client|Cerberus|stalkerware
com.lsdroid.cerberus.kids|Cerberus|stalkerware
com.lsdroid.cerberus.persona2|Cerberus|stalkerware
com.lsdroid.cerberus.persona|Cerberus|stalkerware
com.lsdroid.cerberuss|Cerberus|stalkerware
com.lsdroid.cerberus|Cerberus anti theft|stalkerware
com.lsdroid.cerberus|Cerberus|stalkerware
com.luckycatcher.freegame|Lucky Catcher - Catch Them All|spyware
com.lucpro.luckypro|Lucky Number Pro|spyware
com.lujeqari.videoremaker|Video Remaker|spyware
com.m.service.control|MobileTrackerFree|stalkerware
com.madtoon.aicartoon.kiroah|MadToon Face Cartoon|spyware
com.magic.world.daily.mhoroscope|Magic Horoscope|spyware
com.mango.findmyphone2|AndroidPolice|stalkerware
com.mango.findmyphone2|InMobi|stalkerware
com.mango.findmyphone3|AndroidPolice|stalkerware
